name,Q,cpeti,cjarak,transit,limit
TRUK,250,2.1004618709204954,33.25443872087979,1,127
KBRG,8250,48.27205162601637,43.29356670807973,1,127
KPNG,8250,81.91457360056357,32.781709539850176,1,127
KRTA,3000,49.189712262438306,127.97488363929693,1,127
