u,v,moda,periode,w
Jayapura,Manokwari,TRUK,1,15
Jayapura,Jakarta,KPNG,1,6
Jayapura,Surabaya,KPNG,1,6
Jayapura,Makassar,KPNG,1,6
Jayapura,Manokwari,KPNG,1,6
Jayapura,Ambon,KPNG,1,6
Jember,Serang,TRUK,1,15
Jember,Jakarta,TRUK,1,15
Jember,Bandung,TRUK,1,15
Jember,Tasikmalaya,TRUK,1,15
Jember,Cirebon,TRUK,1,15
Jember,Tegal,TRUK,1,15
Jember,Purwokerto,TRUK,1,15
Jember,Yogyakarta,TRUK,1,15
Jember,Semarang,TRUK,1,15
Jember,Solo,TRUK,1,15
Jember,Kediri,TRUK,1,15
Jember,Malang,TRUK,1,15
Jember,Surabaya,TRUK,1,15
Jember,Surabaya,KRTA,1,2
Jember,Yogyakarta,KRTA,1,2
Jember,Purwokerto,KRTA,1,2
Jember,Malang,KRTA,1,2
Kediri,Serang,TRUK,1,15
Kediri,Jakarta,TRUK,1,15
Kediri,Bandung,TRUK,1,15
Kediri,Tasikmalaya,TRUK,1,15
Kediri,Cirebon,TRUK,1,15
Kediri,Tegal,TRUK,1,15
Kediri,Purwokerto,TRUK,1,15
Kediri,Yogyakarta,TRUK,1,15
Kediri,Semarang,TRUK,1,15
Kediri,Solo,TRUK,1,15
Kediri,Malang,TRUK,1,15
Kediri,Surabaya,TRUK,1,15
Kediri,Jember,TRUK,1,15
Kediri,Bandung,KRTA,1,2
Kediri,Tasikmalaya,KRTA,1,2
Kediri,Jakarta,KRTA,1,2
Kediri,Solo,KRTA,1,2
Kediri,Semarang,KRTA,1,2
Kediri,Tegal,KRTA,1,2
Kediri,Cirebon,KRTA,1,2
Kediri,Yogyakarta,KRTA,1,2
Kediri,Purwokerto,KRTA,1,2
Kediri,Serang,KRTA,1,2
Kendari,Mamuju,TRUK,1,15
Kendari,Makassar,TRUK,1,15
Kendari,Palu,TRUK,1,15
Kendari,Gorontalo,TRUK,1,15
Kendari,Manado,TRUK,1,15
Kendari,Jakarta,KBRG,1,4
Kendari,Surabaya,KBRG,1,4
Kendari,Balikpapan,KBRG,1,4
Kendari,Samarinda,KBRG,1,4
Kendari,Palu,KBRG,1,4
Kendari,Manado,KBRG,1,4
Kupang,Jakarta,KPNG,1,6
Kupang,Surabaya,KPNG,1,6
Kupang,Makassar,KPNG,1,6
Lampung,Banda Aceh,TRUK,1,15
Lampung,Jakarta,TRUK,1,15
Lampung,Lhokseumawe,TRUK,1,15
Lampung,Medan,TRUK,1,15
Lampung,Sibolga,TRUK,1,15
Lampung,Pematang Siantar,TRUK,1,15
Lampung,Padang,TRUK,1,15
Lampung,Pekanbaru,TRUK,1,15
Lampung,Bengkulu,TRUK,1,15
Lampung,Jambi,TRUK,1,15
Lampung,Palembang,TRUK,1,15
Lampung,Pangkal Pinang,TRUK,1,15
Lampung,Serang,TRUK,1,15
Lampung,Palembang,KRTA,1,2
Lhokseumawe,Banda Aceh,TRUK,1,15
Lhokseumawe,Medan,TRUK,1,15
Lhokseumawe,Sibolga,TRUK,1,15
Lhokseumawe,Pematang Siantar,TRUK,1,15
Lhokseumawe,Padang,TRUK,1,15
Lhokseumawe,Pekanbaru,TRUK,1,15
Lhokseumawe,Bengkulu,TRUK,1,15
Lhokseumawe,Jambi,TRUK,1,15
Lhokseumawe,Palembang,TRUK,1,15
Lhokseumawe,Lampung,TRUK,1,15
Lhokseumawe,Pangkal Pinang,TRUK,1,15
Makassar,Mamuju,TRUK,1,15
Makassar,Palu,TRUK,1,15
Makassar,Kendari,TRUK,1,15
Makassar,Gorontalo,TRUK,1,15
Makassar,Manado,TRUK,1,15
Makassar,Jakarta,KBRG,1,4
Makassar,Jakarta,KPNG,1,6
Makassar,Surabaya,KPNG,1,6
Makassar,Ternate,KPNG,1,6
Makassar,Manado,KPNG,1,6
Makassar,Manokwari,KPNG,1,6
Makassar,Jayapura,KPNG,1,6
Makassar,Kupang,KPNG,1,6
Malang,Serang,TRUK,1,15
Malang,Jakarta,TRUK,1,15
Malang,Bandung,TRUK,1,15
Malang,Tasikmalaya,TRUK,1,15
Malang,Cirebon,TRUK,1,15
Malang,Tegal,TRUK,1,15
Malang,Purwokerto,TRUK,1,15
Malang,Yogyakarta,TRUK,1,15
Malang,Semarang,TRUK,1,15
Malang,Solo,TRUK,1,15
Malang,Kediri,TRUK,1,15
Malang,Surabaya,TRUK,1,15
Malang,Jember,TRUK,1,15
Malang,Jakarta,KRTA,1,2
Malang,Surabaya,KRTA,1,2
Malang,Solo,KRTA,1,2
Malang,Yogyakarta,KRTA,1,2
Malang,Purwokerto,KRTA,1,2
Malang,Cirebon,KRTA,1,2
Malang,Kediri,KRTA,1,2
Malang,Semarang,KRTA,1,2
Malang,Tegal,KRTA,1,2
Malang,Bandung,KRTA,1,2
Malang,Tasikmalaya,KRTA,1,2
Malang,Jember,KRTA,1,2
Mamuju,Makassar,TRUK,1,15
Mamuju,Palu,TRUK,1,15
Mamuju,Kendari,TRUK,1,15
Mamuju,Gorontalo,TRUK,1,15
Mamuju,Manado,TRUK,1,15
Manado,Mamuju,TRUK,1,15
Manado,Makassar,TRUK,1,15
Manado,Palu,TRUK,1,15
Manado,Kendari,TRUK,1,15
Manado,Gorontalo,TRUK,1,15
Manado,Jakarta,KBRG,1,4
Manado,Surabaya,KBRG,1,4
Manado,Balikpapan,KBRG,1,4
Manado,Samarinda,KBRG,1,4
Manado,Palu,KBRG,1,4
Manado,Kendari,KBRG,1,4
Manado,Jakarta,KPNG,1,6
Manado,Surabaya,KPNG,1,6
Manado,Makassar,KPNG,1,6
Manado,Ambon,KPNG,1,6
Manado,Ternate,KPNG,1,6
Manokwari,Jayapura,TRUK,1,15
Manokwari,Jakarta,KPNG,1,6
Manokwari,Surabaya,KPNG,1,6
Manokwari,Makassar,KPNG,1,6
Manokwari,Jayapura,KPNG,1,6
Mataram,Denpasar,TRUK,1,15
Medan,Banda Aceh,TRUK,1,15
Medan,Lhokseumawe,TRUK,1,15
Medan,Sibolga,TRUK,1,15
Medan,Pematang Siantar,TRUK,1,15
Medan,Padang,TRUK,1,15
Medan,Pekanbaru,TRUK,1,15
Medan,Bengkulu,TRUK,1,15
Medan,Jambi,TRUK,1,15
Medan,Palembang,TRUK,1,15
Medan,Lampung,TRUK,1,15
Medan,Pangkal Pinang,TRUK,1,15
Medan,Jakarta,KBRG,1,4
Medan,Jakarta,KPNG,1,6
Medan,Batam,KPNG,1,6
Medan,Pematang Siantar,KRTA,1,2
Padang,Banda Aceh,TRUK,1,15
Padang,Lhokseumawe,TRUK,1,15
Padang,Medan,TRUK,1,15
Padang,Sibolga,TRUK,1,15
Padang,Pematang Siantar,TRUK,1,15
Padang,Pekanbaru,TRUK,1,15
Padang,Bengkulu,TRUK,1,15
Padang,Jambi,TRUK,1,15
Padang,Palembang,TRUK,1,15
Padang,Lampung,TRUK,1,15
Padang,Pangkal Pinang,TRUK,1,15
Palangkaraya,Pontianak,TRUK,1,15
Palangkaraya,Banjarmasin,TRUK,1,15
Palangkaraya,Balikpapan,TRUK,1,15
Palangkaraya,Samarinda,TRUK,1,15
Palangkaraya,Tarakan,TRUK,1,15
Palembang,Banda Aceh,TRUK,1,15
Palembang,Lhokseumawe,TRUK,1,15
Palembang,Medan,TRUK,1,15
Palembang,Sibolga,TRUK,1,15
Palembang,Pematang Siantar,TRUK,1,15
Palembang,Padang,TRUK,1,15
Palembang,Pekanbaru,TRUK,1,15
Palembang,Bengkulu,TRUK,1,15
Palembang,Jambi,TRUK,1,15
Palembang,Lampung,TRUK,1,15
Palembang,Pangkal Pinang,TRUK,1,15
Palembang,Jakarta,KBRG,1,4
Palembang,Lampung,KRTA,1,2
Palu,Mamuju,TRUK,1,15
Palu,Makassar,TRUK,1,15
Palu,Kendari,TRUK,1,15
Palu,Gorontalo,TRUK,1,15
Palu,Manado,TRUK,1,15
Palu,Samarinda,TRUK,1,15
Palu,Jakarta,KBRG,1,4
Palu,Surabaya,KBRG,1,4
Palu,Balikpapan,KBRG,1,4
Palu,Samarinda,KBRG,1,4
Palu,Manado,KBRG,1,4
Palu,Kendari,KBRG,1,4
Pangkal Pinang,Banda Aceh,TRUK,1,15
Pangkal Pinang,Lhokseumawe,TRUK,1,15
Pangkal Pinang,Medan,TRUK,1,15
Pangkal Pinang,Sibolga,TRUK,1,15
Pangkal Pinang,Pematang Siantar,TRUK,1,15
Pangkal Pinang,Padang,TRUK,1,15
Pangkal Pinang,Pekanbaru,TRUK,1,15
Pangkal Pinang,Bengkulu,TRUK,1,15
Pangkal Pinang,Jambi,TRUK,1,15
Pangkal Pinang,Palembang,TRUK,1,15
Pangkal Pinang,Lampung,TRUK,1,15
Pekanbaru,Banda Aceh,TRUK,1,15
Pekanbaru,Lhokseumawe,TRUK,1,15
Pekanbaru,Medan,TRUK,1,15
Pekanbaru,Sibolga,TRUK,1,15
Pekanbaru,Pematang Siantar,TRUK,1,15
Pekanbaru,Padang,TRUK,1,15
Pekanbaru,Bengkulu,TRUK,1,15
Pekanbaru,Jambi,TRUK,1,15
Pekanbaru,Palembang,TRUK,1,15
Pekanbaru,Lampung,TRUK,1,15
Pekanbaru,Pangkal Pinang,TRUK,1,15
Pekanbaru,Jakarta,KBRG,1,4
Pematang Siantar,Banda Aceh,TRUK,1,15
Pematang Siantar,Lhokseumawe,TRUK,1,15
Pematang Siantar,Medan,TRUK,1,15
